|6.6.6
fo_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  1373.150       1.000000      -2307279.      -1848469.       87.76774       334.1300       184.5752       4.546445      0.1940333E-03  0.4143488E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1383.150       1.000000      -2310627.      -1846622.       87.25963       335.4700       184.7775       4.548388      0.1944831E-03  0.4152349E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1393.150       1.000000      -2313989.      -1844773.       86.75931       336.8019       184.9777       4.550336      0.1949341E-03  0.4161248E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1403.150       1.000000      -2317363.      -1842922.       86.26661       338.1256       185.1759       4.552289      0.1953864E-03  0.4170186E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1413.150       1.000000      -2320751.      -1841070.       85.78138       339.4413       185.3721       4.554246      0.1958400E-03  0.4179164E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1423.150       1.000000      -2324152.      -1839215.       85.30345       340.7492       185.5663       4.556207      0.1962948E-03  0.4188180E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1433.150       1.000000      -2327566.      -1837358.       84.83266       342.0492       185.7586       4.558174      0.1967510E-03  0.4197237E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1443.150       1.000000      -2330993.      -1835500.       84.36887       343.3415       185.9490       4.560144      0.1972085E-03  0.4206333E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1453.150       1.000000      -2334433.      -1833639.       83.91192       344.6262       186.1376       4.562120      0.1976674E-03  0.4215470E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1463.150       1.000000      -2337885.      -1831777.       83.46168       345.9034       186.3243       4.564099      0.1981278E-03  0.4224647E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1473.150       1.000000      -2341351.      -1829913.       83.01800       347.1731       186.5093       4.566084      0.1985895E-03  0.4233864E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1483.150       1.000000      -2344829.      -1828047.       82.58075       348.4355       186.6924       4.568073      0.1990527E-03  0.4243122E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1493.150       1.000000      -2348320.      -1826179.       82.14980       349.6907       186.8739       4.570067      0.1995174E-03  0.4252422E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1503.150       1.000000      -2351823.      -1824309.       81.72501       350.9386       187.0536       4.572065      0.1999836E-03  0.4261762E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
