|6.6.6
fa_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  1373.150       1.000000      -1706086.      -1142368.       64.89866       410.5295       199.5451       4.803697      0.1830777E-03  0.4549716E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1383.150       1.000000      -1710199.      -1140371.       64.58476       411.9784       199.8214       4.805531      0.1835040E-03  0.4559891E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1393.150       1.000000      -1714326.      -1138371.       64.27590       413.4189       200.0964       4.807369      0.1839318E-03  0.4570111E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1403.150       1.000000      -1718467.      -1136369.       63.97199       414.8510       200.3703       4.809212      0.1843612E-03  0.4580378E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1413.150       1.000000      -1722623.      -1134364.       63.67290       416.2749       200.6428       4.811059      0.1847922E-03  0.4590690E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1423.150       1.000000      -1726793.      -1132356.       63.37854       417.6907       200.9142       4.812910      0.1852249E-03  0.4601050E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1433.150       1.000000      -1730976.      -1130346.       63.08880       419.0985       201.1845       4.814765      0.1856591E-03  0.4611456E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1443.150       1.000000      -1735174.      -1128332.       62.80358       420.4983       201.4535       4.816625      0.1860951E-03  0.4621910E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1453.150       1.000000      -1739386.      -1126316.       62.52279       421.8903       201.7215       4.818489      0.1865326E-03  0.4632411E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1463.150       1.000000      -1743612.      -1124298.       62.24634       423.2747       201.9883       4.820357      0.1869719E-03  0.4642960E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1473.150       1.000000      -1747852.      -1122277.       61.97412       424.6514       202.2541       4.822230      0.1874129E-03  0.4653558E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1483.150       1.000000      -1752105.      -1120253.       61.70606       426.0206       202.5188       4.824108      0.1878557E-03  0.4664204E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1493.150       1.000000      -1756372.      -1118226.       61.44207       427.3823       202.7825       4.825990      0.1883002E-03  0.4674898E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
