|6.6.6
foL_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  1373.150       1.000000      -2280010.      -1800169.       86.73043       349.4454       269.4000       4.760005      0.4378299E-03  0.1509241E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1383.150       1.000000      -2283514.      -1797475.       86.23572       351.4002       269.4000       4.764386      0.4382328E-03  0.1512745E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1393.150       1.000000      -2287038.      -1794781.       85.74884       353.3410       269.4000       4.768771      0.4386361E-03  0.1516260E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1403.150       1.000000      -2290581.      -1792087.       85.26962       355.2678       269.4000       4.773160      0.4390397E-03  0.1519787E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1413.150       1.000000      -2294143.      -1789393.       84.79789       357.1810       269.4000       4.777554      0.4394437E-03  0.1523324E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1423.150       1.000000      -2297725.      -1786699.       84.33349       359.0806       269.4000       4.781951      0.4398481E-03  0.1526873E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1433.150       1.000000      -2301325.      -1784005.       83.87625       360.9670       269.4000       4.786352      0.4402528E-03  0.1530433E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1443.150       1.000000      -2304944.      -1781311.       83.42604       362.8402       269.4000       4.790758      0.4406579E-03  0.1534005E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1453.150       1.000000      -2308582.      -1778617.       82.98270       364.7006       269.4000       4.795167      0.4410634E-03  0.1537587E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1463.150       1.000000      -2312238.      -1775923.       82.54607       366.5481       269.4000       4.799581      0.4414693E-03  0.1541182E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
